350000	福建省	350800	龙岩市	487	龙岩
350000	福建省	350900	宁德市	483	宁德
360000	江西省	360100	南昌市	492	南昌
360000	江西省	360200	景德镇市	499	景德镇
360000	江西省	360300	萍乡市	500	萍乡
360000	江西省	360400	九江市	493	九江
360000	江西省	360500	新余市	491	新余
360000	江西省	360600	鹰潭市	490	鹰潭
360000	江西省	360700	赣州市	498	赣州
360000	江西省	360800	吉安市	497	吉安
360000	江西省	360900	宜春市	496	宜春
360000	江西省	361000	抚州市	495	抚州
360000	江西省	361100	上饶市	494	上饶
370000	山东省	370100	济南市	502	济南
370000	山东省	370200	青岛市	503	青岛
370000	山东省	370300	淄博市	504	淄博
370000	山东省	370400	枣庄市	514	枣庄
370000	山东省	370500	东营市	512	东营
370000	山东省	370600	烟台市	506	烟台
370000	山东省	370700	潍坊市	507	潍坊
370000	山东省	370800	济宁市	508	济宁
370000	山东省	370900	泰安市	509	泰安
370000	山东省	371000	威海市	513	威海
370000	山东省	371100	日照市	515	日照
370000	山东省	371200	莱芜市	516	莱芜
370000	山东省	371300	临沂市	510	临沂
370000	山东省	371400	德州市	505	德州
370000	山东省	371500	聊城市	517	聊城
370000	山东省	371600	滨州市	511	滨州
370000	山东省	371700	菏泽市	501	菏泽
410000	河南省	410100	郑州市	519	郑州
410000	河南省	410200	开封市	526	开封
410000	河南省	410300	洛阳市	527	洛阳
410000	河南省	410400	平顶山市	523	平顶山
410000	河南省	410500	安阳市	520	安阳
410000	河南省	410600	鹤壁市	530	鹤壁
410000	河南省	410700	新乡市	521	新乡
410000	河南省	410800	焦作市	529	焦作
410000	河南省	410900	濮阳市	531	濮阳
410000	河南省	411000	许昌市	522	许昌
410000	河南省	411100	漯河市	533	漯河
410000	河南省	411200	三门峡市	535	三门峡
410000	河南省	411300	南阳市	525	南阳
410000	河南省	411400	商丘市	518	商丘
410000	河南省	411500	信阳市	524	信阳
410000	河南省	411600	周口市	532	周口
410000	河南省	411700	驻马店市	534	驻马店
420000	湖北省	420100	武汉市	536	武汉
420000	湖北省	420200	黄石市	541	黄石
420000	湖北省	420300	十堰市	547	十堰
