pid	pname	cid	cname	gpid	gpname	gcid	gcname
340000	安徽省	340400	淮南市	1	安徽	108	淮南
340000	安徽省	340500	马鞍山市	1	安徽	110	马鞍山
340000	安徽省	340600	淮北市	1	安徽	107	淮北
340000	安徽省	340700	铜陵市	1	安徽	113	铜陵
340000	安徽省	340800	安庆市	1	安徽	102	安庆
340000	安徽省	341000	黄山市	1	安徽	118	黄山
340000	安徽省	341100	滁州市	1	安徽	116	滁州
340000	安徽省	341200	阜阳市	1	安徽	106	阜阳
340000	安徽省	341300	宿州市	1	安徽	120	宿州
340000	安徽省	341500	六安市	1	安徽	109	六安
340000	安徽省	341600	亳州市	1	安徽	125	亳州
340000	安徽省	341700	池州市	1	安徽	105	池州
340000	安徽省	341800	宣城市	1	安徽	115	宣城
350000	福建省	350100	福州市	3	福建	301	福州
350000	福建省	350200	厦门市	3	福建	302	厦门
350000	福建省	350300	莆田市	3	福建	306	莆田
350000	福建省	350400	三明市	3	福建	318	三明
350000	福建省	350500	泉州市	3	福建	307	泉州
350000	福建省	350600	漳州市	3	福建	305	漳州
350000	福建省	350700	南平市	3	福建	314	南平
350000	福建省	350800	龙岩市	3	福建	303	龙岩
350000	福建省	350900	宁德市	3	福建	315	宁德
360000	江西省	360100	南昌市	16	江西	1601	南昌
360000	江西省	360200	景德镇市	16	江西	1612	景德镇
360000	江西省	360300	萍乡市	16	江西	1603	萍乡
360000	江西省	360400	九江市	16	江西	1606	九江
360000	江西省	360500	新余市	16	江西	1604	新余
360000	江西省	360600	鹰潭市	16	江西	1615	鹰潭
360000	江西省	360700	赣州市	16	江西	1607	赣州
360000	江西省	360800	吉安市	16	江西	1609	吉安
360000	江西省	360900	宜春市	16	江西	1605	宜春
360000	江西省	361000	抚州市	16	江西	1613	抚州
360000	江西省	361100	上饶市	16	江西	1602	上饶
370000	山东省	370100	济南市	21	山东	2101	济南
370000	山东省	370200	青岛市	21	山东	2102	青岛
370000	山东省	370300	淄博市	21	山东	2109	淄博
370000	山东省	370400	枣庄市	21	山东	2107	枣庄
370000	山东省	370500	东营市	21	山东	2110	东营
370000	山东省	370600	烟台市	21	山东	2103	烟台
370000	山东省	370700	潍坊市	21	山东	2105	潍坊
370000	山东省	370800	济宁市	21	山东	2118	济宁
370000	山东省	370900	泰安市	21	山东	2106	泰安
370000	山东省	371000	威海市	21	山东	2104	威海
370000	山东省	371100	日照市	21	山东	2120	日照
370000	山东省	371200	莱芜市	21	山东	2132	莱芜
370000	山东省	371300	临沂市	21	山东	2117	临沂
370000	山东省	371400	德州市	21	山东	1015	德州
370000	山东省	371500	聊城市	21	山东	2114	聊城
370000	山东省	371600	滨州市	21	山东	2113	滨州
370000	山东省	371700	菏泽市	21	山东	2112	菏泽
410000	河南省	410100	郑州市	10	河南	1001	郑州
410000	河南省	410200	开封市	10	河南	1013	开封
410000	河南省	410300	洛阳市	10	河南	1002	洛阳
410000	河南省	410400	平顶山市	10	河南	1018	平顶山
410000	河南省	410500	安阳市	10	河南	1014	安阳
410000	河南省	410600	鹤壁市	10	河南	1016	鹤壁
410000	河南省	410700	新乡市	10	河南	1005	新乡
410000	河南省	410800	焦作市	10	河南	1011	焦作
410000	河南省	410900	濮阳市	10	河南	1008	濮阳
410000	河南省	411000	许昌市	10	河南	1023	许昌
410000	河南省	411100	漯河市	10	河南	1010	漯河
410000	河南省	411200	三门峡市	10	河南	1007	三门峡
410000	河南省	411300	南阳市	10	河南	1009	南阳
410000	河南省	411400	商丘市	10	河南	1006	商丘
410000	河南省	411500	信阳市	10	河南	1004	信阳
410000	河南省	411600	周口市	10	河南	1003	周口
410000	河南省	411700	驻马店市	10	河南	1021	驻马店
410000	河南省	419000	省直辖县级行政区划				
420000	湖北省	420100	武汉市	12	湖北	1201	武汉
420000	湖北省	420200	黄石市	12	湖北	1208	黄石
420000	湖北省	420300	十堰市	12	湖北	1202	十堰
420000	湖北省	420500	宜昌市	12	湖北	1207	宜昌
420000	湖北省	420600	襄阳市	12	湖北	1203	襄阳
420000	湖北省	420700	鄂州市	12	湖北	1216	鄂州
420000	湖北省	420800	荆门市	12	湖北	1209	荆门
420000	湖北省	420900	孝感市	12	湖北	1229	孝感
420000	湖北省	421000	荆州市	12	湖北	1210	荆州
420000	湖北省	421100	黄冈市	12	湖北	1236	黄冈
420000	湖北省	421200	咸宁市	12	湖北	1217	咸宁
420000	湖北省	421300	随州市	12	湖北	1204	随州
420000	湖北省	422800	恩施土家族苗族自治州	12	湖北	422800	恩施
420000	湖北省	429000	省直辖县级行政区划				
430000	湖南省	430100	长沙市	13	湖南	1301	长沙
430000	湖南省	430200	株洲市	13	湖南	1307	株洲
430000	湖南省	430300	湘潭市	13	湖南	1309	湘潭
430000	湖南省	430400	衡阳市	13	湖南	1304	衡阳
430000	湖南省	430500	邵阳市	13	湖南	1310	邵阳
