省编码	省名称	市编码	市名称	区县编码	区县名称	百姓省	市代码	百姓市	区县代码	百姓区县
130000	河北省	130300	秦皇岛市	130304	北戴河区	河北	qinhuangdao	秦皇岛	m6677	北戴河
130000	河北省	130300	秦皇岛市	130321	青龙满族自治县	河北	qinhuangdao	秦皇岛	m6676	青龙
130000	河北省	130300	秦皇岛市	130322	昌黎县	河北	qinhuangdao	秦皇岛	m6675	昌黎
130000	河北省	130300	秦皇岛市	130323	抚宁县	河北	qinhuangdao	秦皇岛	m6674	抚宁
130000	河北省	130300	秦皇岛市	130324	卢龙县	河北	qinhuangdao	秦皇岛	m6673	卢龙
130000	河北省	130400	邯郸市	130401	市辖区	河北	handan	邯郸	m6841	邯郸
130000	河北省	130400	邯郸市	130402	邯山区	河北	handan	邯郸	m6845	邯山
130000	河北省	130400	邯郸市	130403	丛台区	河北	handan	邯郸	m6844	丛台
130000	河北省	130400	邯郸市	130404	复兴区	河北	handan	邯郸	m6843	复兴
130000	河北省	130400	邯郸市	130406	峰峰矿区	河北	handan	邯郸	m6842	峰峰矿
130000	河北省	130400	邯郸市	130421	邯郸县	河北	handan	邯郸	m6841	邯郸
130000	河北省	130400	邯郸市	130423	临漳县	河北	handan	邯郸	m6840	临漳
130000	河北省	130400	邯郸市	130424	成安县	河北	handan	邯郸	m6839	成安
130000	河北省	130400	邯郸市	130425	大名县	河北	handan	邯郸	m6838	大名
130000	河北省	130400	邯郸市	130426	涉县	河北	handan	邯郸	m6837	涉县
130000	河北省	130400	邯郸市	130427	磁县	河北	handan	邯郸	m6836	磁县
130000	河北省	130400	邯郸市	130428	肥乡县	河北	handan	邯郸	m6835	肥乡
130000	河北省	130400	邯郸市	130429	永年县	河北	handan	邯郸	m6834	永年
130000	河北省	130400	邯郸市	130431	鸡泽县	河北	handan	邯郸	m6832	鸡泽
130000	河北省	130400	邯郸市	130432	广平县	河北	handan	邯郸	m6831	广平
130000	河北省	130400	邯郸市	130433	馆陶县	河北	handan	邯郸	m6830	馆陶
130000	河北省	130400	邯郸市	130434	魏县	河北	handan	邯郸	m6829	魏县
130000	河北省	130400	邯郸市	130435	曲周县	河北	handan	邯郸	m6828	曲周
130000	河北省	130400	邯郸市	130481	武安市	河北	handan	邯郸	m6827	武安
130000	河北省	130500	邢台市	130501	市辖区	河北	xingtai	邢台	m6696	邢台
130000	河北省	130500	邢台市	130502	桥东区	河北	xingtai	邢台	m6698	桥东
130000	河北省	130500	邢台市	130503	桥西区	河北	xingtai	邢台	m6697	桥西
130000	河北省	130500	邢台市	130521	邢台县	河北	xingtai	邢台	m6696	邢台
130000	河北省	130500	邢台市	130522	临城县	河北	xingtai	邢台	m6695	临城
130000	河北省	130500	邢台市	130523	内丘县	河北	xingtai	邢台	m6694	内丘
130000	河北省	130500	邢台市	130524	柏乡县	河北	xingtai	邢台	m6693	柏乡
130000	河北省	130500	邢台市	130525	隆尧县	河北	xingtai	邢台	m6692	隆尧
130000	河北省	130500	邢台市	130526	任县	河北	xingtai	邢台	m6691	任县
130000	河北省	130500	邢台市	130527	南和县	河北	xingtai	邢台	m6690	南和
130000	河北省	130500	邢台市	130528	宁晋县	河北	xingtai	邢台	m6689	宁晋
130000	河北省	130500	邢台市	130529	巨鹿县	河北	xingtai	邢台	m6688	巨鹿
